X,Stratification,strata,# surveys,# units to assess,Effective sample,% buffer,Confidence level,Error margin,Population,Sampling type,Location
1,Um Al-Nnaser (Al Qaraya al Badawiya),umm_naser,117,1,106,0.1,0.95,0.09,939,Cluster sampling with size 1 = random sampling,Gaza
2,Beit Lahiya,beit_hanun,130,1,118,0.1,0.95,0.09,17808,Cluster sampling with size 1 = random sampling,Gaza
3,Beit Hanun,beit_lahiya,130,1,118,0.1,0.95,0.09,10355,Cluster sampling with size 1 = random sampling,Gaza
4,Jabalya Camp,jabalya_camp,130,1,118,0.1,0.95,0.09,9805,Cluster sampling with size 1 = random sampling,Gaza
5,Jabalya,jabalya,131,1,119,0.1,0.95,0.09,34235,Cluster sampling with size 1 = random sampling,Gaza
6,Ash Shati' Camp,shati_camp,129,1,117,0.1,0.95,0.09,7813,Cluster sampling with size 1 = random sampling,Gaza
7,Gaza,gaza,131,1,119,0.1,0.95,0.09,113259,Cluster sampling with size 1 = random sampling,Gaza
8,Madinat Ezahra,madinat_ezahra,118,1,107,0.1,0.95,0.09,1024,Cluster sampling with size 1 = random sampling,Gaza
9,Al Mughraqa ,al_mughraqa,124,1,113,0.1,0.95,0.09,2198,Cluster sampling with size 1 = random sampling,Gaza
10,Juhor ad Dik,juhor_deik,116,1,105,0.1,0.95,0.09,880,Cluster sampling with size 1 = random sampling,Gaza
11,An Nuseirat Camp,nuseirat_camp,129,1,117,0.1,0.95,0.09,6391,Cluster sampling with size 1 = random sampling,Gaza
12,An Nuseirat ,an_nuseirat,130,1,118,0.1,0.95,0.09,11043,Cluster sampling with size 1 = random sampling,Gaza
13,Al Bureij Camp,bureij_camp,129,1,117,0.1,0.95,0.09,5642,Cluster sampling with size 1 = random sampling,Gaza
14,Al Bureij ,al_bureij,127,1,115,0.1,0.95,0.09,3119,Cluster sampling with size 1 = random sampling,Gaza
15,Az Zawayda,az_zawayda,128,1,116,0.1,0.95,0.09,4800,Cluster sampling with size 1 = random sampling,Gaza
16,Deir al Balah Camp,deir_balah_camp,121,1,110,0.1,0.95,0.09,1406,Cluster sampling with size 1 = random sampling,Gaza
17,Al Maghazi Camp,maghazi_camp,127,1,115,0.1,0.95,0.09,3655,Cluster sampling with size 1 = random sampling,Gaza
18,Al Maghazi ,al_maghazi,123,1,112,0.1,0.95,0.09,1947,Cluster sampling with size 1 = random sampling,Gaza
19,Deir al Balah,deir_balah,130,1,118,0.1,0.95,0.09,15126,Cluster sampling with size 1 = random sampling,Gaza
20,Al Musaddar,al_musaddar,107,1,97,0.1,0.95,0.09,521,Cluster sampling with size 1 = random sampling,Gaza
21,Wadi as Salqa,wadi_salqa,121,1,110,0.1,0.95,0.09,1352,Cluster sampling with size 1 = random sampling,Gaza
22,Al Qarara,al_qarara,129,1,117,0.1,0.95,0.09,5887,Cluster sampling with size 1 = random sampling,Gaza
23,Khan Yunis Camp,khan_yunis_camp,129,1,117,0.1,0.95,0.09,8358,Cluster sampling with size 1 = random sampling,Gaza
24,Khan Yunis,khan_yunis,131,1,119,0.1,0.95,0.09,41631,Cluster sampling with size 1 = random sampling,Gaza
25,Bani Suheila,bani_suheila,129,1,117,0.1,0.95,0.09,8410,Cluster sampling with size 1 = random sampling,Gaza
26,A’basan al Jadida,abasan_jadida,123,1,112,0.1,0.95,0.09,1885,Cluster sampling with size 1 = random sampling,Gaza
27,A’basan al Kabira,abasan_kabira,129,1,117,0.1,0.95,0.09,5433,Cluster sampling with size 1 = random sampling,Gaza
28,Khuza'a,khuza,124,1,113,0.1,0.95,0.09,2311,Cluster sampling with size 1 = random sampling,Gaza
29,Al Fukhkhari,al_fukhari,120,1,109,0.1,0.95,0.09,1308,Cluster sampling with size 1 = random sampling,Gaza
30,Rafah,rafah,131,1,119,0.1,0.95,0.09,34140,Cluster sampling with size 1 = random sampling,Gaza
31,Rafah Camp   ,rafah_camp,129,1,117,0.1,0.95,0.09,7259,Cluster sampling with size 1 = random sampling,Gaza
32,Al-Nnaser,an_naser,123,1,112,0.1,0.95,0.09,1784,Cluster sampling with size 1 = random sampling,Gaza
33,Al Shokat,ash_shoka,127,1,115,0.1,0.95,0.09,3266,Cluster sampling with size 1 = random sampling,Gaza
