"municipality","num_surveys"
"abasan_jadida",123
"abasan_kabira",129
"al_bureij",127
"al_fukhari",120
"al_maghazi",123
"al_mughraqa",124
"al_musaddar",107
"al_qarara",129
"an_naser",123
"an_nuseirat",130
"ash_shoka",127
"az_zawayda",128
"bani_suheila",129
"beit_hanun",130
"beit_lahiya",130
"bureij_camp",129
"deir_balah",130
"deir_balah_camp",121
"gaza",131
"jabalya",131
"jabalya_camp",130
"juhor_ad_dik",116
"khan_yunis",131
"khan_yunis_camp",129
"khuza",124
"madinat_ezahra",118
"maghazi_camp",127
"nuseirat_camp",129
"rafah",131
"rafah_camp",129
"shati_camp",129
"umm_naser",117
"wadi_salqa",121
